operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted
2024-09-10,01:40 PM,02:00 PM,2024-09-11,BBPA_20240910174000.pdf,BBPA_20240910174000.xml,BBA_20240910174000.pdf,BBA_20240910174000.xml,BBR_20240910174000.pdf,BBR_20240910174000.xml,null,Liquidity Support,Nominal Coupons,7Y to 10Y,5,3067000000.00,1000000.00,4000000000,9,10,449000000.00
2024-09-05,01:40 PM,02:00 PM,2024-09-06,BBPA_20240905174000.pdf,BBPA_20240905174000.xml,BBA_20240905174000.pdf,BBA_20240905174000.xml,BBR_20240905174000.pdf,BBR_20240905174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,18,13150000000.00,1000000.00,5000000000,9,35,5000000000.00
2024-09-04,01:40 PM,02:00 PM,2024-09-05,BBPA_20240904174000.pdf,BBPA_20240904174000.xml,BBA_20240904174000.pdf,BBA_20240904174000.xml,BBR_20240904174000.pdf,BBR_20240904174000.xml,null,Liquidity Support,Nominal Coupons,2Y to 3Y,6,8244000000.00,1000000.00,4000000000,9,31,2295000000.00
2024-08-28,01:40 PM,02:00 PM,2024-08-29,BBPA_20240828174000.pdf,BBPA_20240828174000.xml,BBA_20240828174000.pdf,BBA_20240828174000.xml,BBR_20240828174000.pdf,BBR_20240828174000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,8,6591000000.00,1000000.00,2000000000,9,25,2000000000.00
2024-08-21,01:20 PM,01:40 PM,2024-08-22,BBPA_20240821172000.pdf,BBPA_20240821172000.xml,BBA_20240821172000.pdf,BBA_20240821172000.xml,BBR_20240821172000.pdf,BBR_20240821172000.xml,BBSPL_20240821172000.pdf,Liquidity Support,TIPS,1Y to 7.5Y,8,2281000000.00,1000000.00,500000000,9,26,351000000.00
2024-08-15,01:40 PM,02:00 PM,2024-08-16,BBPA_20240815174000.pdf,BBPA_20240815174000.xml,BBA_20240815174000.pdf,BBA_20240815174000.xml,BBR_20240815174000.pdf,BBR_20240815174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,9,6452000000.00,1000000.00,2000000000,9,34,2000000000.00
2024-08-07,01:40 PM,02:00 PM,2024-08-08,BBPA_20240807174000.pdf,BBPA_20240807174000.xml,BBA_20240807174000.pdf,BBA_20240807174000.xml,BBR_20240807174000.pdf,BBR_20240807174000.xml,null,Liquidity Support,Nominal Coupons,1Mo to 2Y,16,36955000000.00,1000000.00,4000000000,9,66,4000000000.00
2024-07-24,01:40 PM,02:00 PM,2024-07-25,BBPA_20240724174000.pdf,BBPA_20240724174000.xml,BBA_20240724174000.pdf,BBA_20240724174000.xml,BBR_20240724174000.pdf,BBR_20240724174000.xml,null,Liquidity Support,Nominal Coupons,7Y to 10Y,0,3706000000.00,1000000.00,2000000000,9,10,0.00
2024-07-18,01:40 PM,02:00 PM,2024-07-19,BBPA_20240718174000.pdf,BBPA_20240718174000.xml,BBA_20240718174000.pdf,BBA_20240718174000.xml,BBR_20240718174000.pdf,BBR_20240718174000.xml,null,Liquidity Support,Nominal Coupons,3Y to 5Y,8,4760000000.00,1000000.00,2000000000,9,20,809000000.00
2024-07-10,01:40 PM,02:00 PM,2024-07-11,BBPA_20240710174000.pdf,BBPA_20240710174000.xml,BBA_20240710174000.pdf,BBA_20240710174000.xml,BBR_20240710174000.pdf,BBR_20240710174000.xml,null,Liquidity Support,TIPS,7.5Y to 30Y,5,728000000.00,1000000.00,500000000,9,14,53000000.00
